               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.035959,            0.019596,           0.0047445,             0.49779,             0.31016,             0.33084,             0.17025,            0.050545,            0.029078,            0.023739,            0.002377,            0.002377,            0.002377
                  79,            0.035963,            0.019099,           0.0047527,             0.47938,             0.31989,             0.33103,             0.17143,            0.050312,            0.029214,            0.024424,            0.002278,            0.002278,            0.002278
                  80,            0.035162,             0.01883,           0.0044603,             0.48609,             0.32276,             0.33293,             0.17259,            0.050245,            0.028811,            0.023743,            0.002179,            0.002179,            0.002179
                  81,            0.035065,            0.018643,           0.0043903,             0.48188,             0.32733,              0.3409,             0.17659,            0.049772,            0.028741,            0.023587,             0.00208,             0.00208,             0.00208
                  82,            0.035626,            0.019278,           0.0045226,             0.57049,             0.29347,             0.33471,             0.17291,            0.050281,            0.029175,            0.023534,            0.001981,            0.001981,            0.001981
                  83,            0.034804,             0.01852,           0.0042722,             0.44335,             0.33593,             0.33764,             0.17812,             0.04996,            0.029071,            0.024135,            0.001882,            0.001882,            0.001882
                  84,            0.034784,            0.018739,            0.004114,             0.51555,              0.3233,             0.34184,             0.17782,            0.050201,            0.029351,            0.024124,            0.001783,            0.001783,            0.001783
                  85,            0.034675,            0.018671,           0.0043692,             0.55116,             0.30773,             0.34461,             0.18184,             0.04999,            0.028902,            0.024503,            0.001684,            0.001684,            0.001684
                  86,            0.034569,             0.01879,           0.0042265,             0.52644,             0.31189,             0.34136,              0.1773,            0.050142,            0.029372,            0.024058,            0.001585,            0.001585,            0.001585
                  87,            0.033725,            0.018552,           0.0040278,             0.46068,             0.33464,             0.33878,             0.17725,            0.049863,            0.029562,            0.024165,            0.001486,            0.001486,            0.001486
                  88,            0.034262,            0.018002,           0.0040349,             0.46129,             0.32574,             0.33225,              0.1731,            0.050111,            0.029939,            0.023941,            0.001387,            0.001387,            0.001387
                  89,            0.033665,            0.018276,           0.0040393,              0.5046,             0.30768,             0.32959,             0.17267,            0.050207,            0.030051,             0.02448,            0.001288,            0.001288,            0.001288
                  90,            0.033097,            0.017828,           0.0037968,             0.49112,             0.32221,             0.33864,             0.17948,            0.050025,            0.029783,            0.024048,            0.001189,            0.001189,            0.001189
                  91,            0.033364,            0.017603,           0.0038856,             0.48501,              0.3218,             0.33823,             0.17721,            0.050277,            0.030324,            0.024151,             0.00109,             0.00109,             0.00109
                  92,            0.032738,            0.017392,           0.0037041,             0.51789,              0.3109,             0.33479,             0.17578,            0.050203,            0.030464,            0.024426,            0.000991,            0.000991,            0.000991
                  93,            0.032619,            0.017652,           0.0037202,             0.45364,             0.32649,             0.33886,             0.17861,            0.050067,             0.03019,            0.024064,            0.000892,            0.000892,            0.000892
                  94,            0.032589,            0.017347,           0.0033375,             0.45317,             0.33469,             0.33359,             0.17588,            0.050189,            0.030639,            0.024122,            0.000793,            0.000793,            0.000793
                  95,              0.0327,            0.017366,           0.0037698,             0.45924,             0.33771,              0.3393,             0.17789,            0.050213,            0.030686,            0.024204,            0.000694,            0.000694,            0.000694
                  96,            0.032648,             0.01777,           0.0036361,             0.51193,             0.31503,             0.34114,             0.17829,            0.050056,            0.030354,             0.02448,            0.000595,            0.000595,            0.000595
                  97,            0.032072,            0.017265,           0.0035969,             0.49527,             0.33151,             0.34829,             0.18135,            0.049873,            0.030447,            0.024478,            0.000496,            0.000496,            0.000496
                  98,            0.032337,            0.017389,           0.0035127,             0.46832,             0.33819,             0.34573,             0.18037,            0.050093,            0.030481,            0.024356,            0.000397,            0.000397,            0.000397
                  99,            0.031675,            0.016675,           0.0034755,             0.46386,             0.33727,             0.34166,             0.17959,             0.05014,            0.030569,            0.024705,            0.000298,            0.000298,            0.000298
